회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보,크롤링_시간
프로페셔날핸즈인핸즈코리아(주),중견 반도체 상장사 통계/데이터 분석 경력(선임-책임급)(안산),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49464529&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,경기 안산시 단원구,경력 5~10년,대졸↑,정규직,~ 12/25(수),"데이터엔지니어, 통계/분석, 데이터분석가, 반도체, 디스플레이 외                    등록일 24/11/25",점심지원,2024-12-08 20:14:03.531832
(주)원익피앤이,[원익PNE] S/W개발(빅데이터 분석 및 솔루션 개발) 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49281169&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,경기 수원시 권선구,경력5년↑,대졸↑,정규직,채용시,"빅데이터, 솔루션, 딥러닝, 머신러닝, 알고리즘 외                    수정일 24/10/28",,2024-12-08 20:14:03.533367
(주)이글루코퍼레이션,[연구개발본부] 데이터 분석 엔진 개발 경력 정규직 채용 (6년 ↑),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535465&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울전체,경력 6~10년,초대졸↑,정규직,~ 01/04(토),"DBA, 데이터분석가, 데이터시각화, 데이터마이닝, 빅데이터 외                    등록일 24/12/05",취업축하금,2024-12-08 20:14:03.534788
(주)스카우트,디지털마케팅 컨설턴트 (마케팅전략/데이터분석/CEJ 기획),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487370&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 강남구,경력3년↑,대졸↑,정규직,채용시,"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 마케팅 외                    등록일 24/11/28",,2024-12-08 20:14:03.536315
이노뎁(주),"SI 프로젝트 데이터 분석,설계 경력 채용 (계약직)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49234753&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 금천구,경력 5~10년,대졸↑,계약직,~ 12/20(금),"데이터엔지니어, 데이터분석가, 데이터분석, 데이터마이닝, 데이터 사이언티스트 외                    수정일 24/11/28",스타트업,2024-12-08 20:14:03.537737
㈜이씨마이너,연구소 빅데이터분석/AI솔루션개발자/ Visual C++ 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49421753&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 강남구,경력무관,대졸↑,정규직,~ 01/17(금),"Java, C++, Windows, C언어, R 외                    등록일 24/11/18",스타트업,2024-12-08 20:14:03.539141
씨앤토트(주),"빅데이터 분석 시스템 모델러, 데이터 아키텍트 (DA) (경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49327880&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 서초구,경력5년↑,학력무관,정규직,채용시,"데이터엔지니어, DBA, 데이터분석가, 데이터시각화, 데이터마이닝 외                    등록일 24/11/04",평균연봉 상위 10%,2024-12-08 20:14:03.540660
(주)시스노바,[SYSNOVA]데이터 분석 및 AI 모델 개발 연구원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49361510&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,경남 사천시,경력,대졸↑,정규직,오늘마감,"알고리즘, 개발PM, SI·시스템통합 등록일 24/11/08",평균연봉 상위 10%,2024-12-08 20:14:03.542071
(주)브릭,데이터분석가(경력 5년 이상) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49358475&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,경기 성남시 분당구,경력5년↑,대졸↑,정규직,~ 01/06(월),"데이터분석가, 빅데이터, 솔루션, Python, 머신러닝 외                    등록일 24/11/07",워라밸,2024-12-08 20:14:03.543636
HR컨설팅(주),유명중견교육그룹 데이터분석 과장급 5년이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49470214&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 성동구,경력 5~10년,대졸↑,정규직,~ 12/26(목),"데이터분석가, 유지보수, Azure, R, SAS 외                    등록일 24/11/26",급성장중,2024-12-08 20:14:03.545111
(주)위밋모빌리티,[위밋모빌리티]데이터 분석 기반 퍼포먼스 마케터(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49309174&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 관악구,경력 3~7년,학력무관,정규직,~ 12/30(월),"데이터분석, 마케팅, 마케팅기획, 기획, 퍼포먼스마케팅 외                    수정일 24/12/04",Pre A 투자유치,2024-12-08 20:14:03.546605
(주)엔엠에스컨설팅,CRM/데이터 분석가 (대형 가전마트사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49457133&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 송파구,경력3년↑,대졸↑,정규직,채용시,"데이터분석가, 데이터분석, 데이터마이닝, 데이터 사이언티스트, 솔루션 외                    등록일 24/11/23",,2024-12-08 20:14:03.548157
