회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보,크롤링_시간
넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49356995&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,신입,대졸↑,인턴직,~ 01/06(월),"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 경영분석 외                    수정일 24/11/13",인기있는,2024-12-08 20:13:59.416872
(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49441156&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,신입·경력,대졸↑,정규직,~ 12/20(금),"데이터분석가, 데이터분석, 빅데이터, Python, 기획 외                    등록일 24/11/20",인기있는,2024-12-08 20:13:59.455776
(주)부동산플래닛,[데이터분석가] Data Analyst 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49302374&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,경력무관,석사↑,정규직,~ 12/29(일),"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 데이터마이닝 외                    수정일 24/11/27",Seed 투자유치,2024-12-08 20:13:59.457458
(주)디리아,데이터분석 및 데이터엔지니어 채용(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534324&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 서초구,경력무관,대졸↑,정규직,채용시,"데이터엔지니어, 데이터분석가, 데이터시각화, 빅데이터, 솔루션 외                    등록일 24/12/05",인기있는,2024-12-08 20:13:59.459159
한국폴리텍대학 광명융합기술교육원,데이터분석/바이오/설계/AR/VR/전기 취업연계 교육생 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49188717&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,경기전체,경력무관,초대졸↑,교육생,~ 12/31(화),"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, OracleDB 외                    수정일 24/11/01",교육 지원 TOP100,2024-12-08 20:13:59.460678
휴먼링크,[울산시 중구 / 공기업 / 데이터분석 보조(사무직)] 채용 안내,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532832&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,울산 중구,경력무관,초대졸↑,파견직,채용시,"자료입력, 사무보조, 문서작성, 사무직, 서류관리 외                    등록일 24/12/05",인기있는,2024-12-08 20:13:59.462333
쿠팡(주),[쿠팡] Business Analyst (비즈니스 데이터 분석) 경력자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49434023&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 송파구,경력 5~18년,대졸↑,정규직,~ 12/20(금),"통계/분석, 데이터분석가, 빅데이터, Python, 마케팅 외                    등록일 24/11/20",재택근무,2024-12-08 20:13:59.463991
(주)테크랩스,마케팅 데이터 분석 (브랜드엑셀러레이팅사업부),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49410863&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,경력 2~10년,대졸↑,정규직,~ 12/14(토),"통계/분석, 데이터분석가, Python, 마케팅, 마케팅기획 외                    수정일 24/11/15",취업축하금,2024-12-08 20:13:59.465454
(주)숲,[SOOP] 데이터 분석 및 지표 설계,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49481364&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,경기 성남시 분당구,경력 3~10년,학력무관,정규직,오늘마감,"데이터엔지니어, 통계/분석, 데이터분석가, 데이터분석, 데이터시각화 외                    등록일 24/11/27",연봉상승률 10% 이상,2024-12-08 20:13:59.467240
(주)케이에스씨앤씨,[신입/경력] 신용평가/금융데이터분석 컨설팅 인재 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49522301&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 영등포구,신입·경력,대졸↑,정규직,~ 01/31(금),"통계/분석, 데이터분석, Python, 모델링, SAS 외                    등록일 24/12/03",기획·전략 지원 급상승,2024-12-08 20:13:59.468829
(주)이와이드플러스,[수원영통] 삼성 App서비스 데이터분석/리포팅 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525312&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,경기 수원시 영통구,신입·경력,대졸↑,정규직,채용시,"통계/분석, 데이터분석가, 데이터분석, 실적관리, 데이터 사이언티스트 외                    수정일 24/12/04",육아휴직,2024-12-08 20:13:59.470324
(주)딜리버드코리아,[딜리버드코리아] 데이터 분석가 / 데이터 사이언티스트 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474375&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강서구,경력,학력무관,정규직,채용시,"통계/분석, 데이터분석가, 데이터분석, 데이터시각화, 데이터마이닝 외                    수정일 24/12/03",인기있는,2024-12-08 20:13:59.471829
쿠팡(주),[쿠팡] 데이터 분석 PM (Taxonomy),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394068&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 송파구,경력3년↑,대졸↑,정규직,채용시,"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 데이터 사이언티스트 외                    수정일 24/11/14",재택근무,2024-12-08 20:13:59.473347
(주)마루에이치알,[현대카드/Fee Biz사업팀]상품운영관리/마케팅캠페인 데이터분석,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516338&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 영등포구,경력무관,대졸↑,계약직,~ 01/02(목),"데이터분석가, 데이터분석, 실적관리, 빅데이터, 마케팅 외                    수정일 24/12/05",금융·보험 스크랩 TOP100,2024-12-08 20:13:59.475350
(주)뉴엔에이아이,[재택 근무] 영어 데이터 모니터링 / 데이터 분석 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451508&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,경기 고양시 일산서구,경력무관,초대졸↑,프리랜서,~ 01/21(화),"데이터분석가, 데이터 사이언티스트, 홍보, 시장조사, 언론홍보 외                    수정일 24/12/06",,2024-12-08 20:13:59.477013
㈜이씨마이너,연구소 빅데이터분석/AI솔루션개발자/Java 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49420870&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,경력무관,대졸↑,정규직,~ 01/17(금),"네트워크, Java, CSS, Javascript, RestAPI 외                    수정일 24/11/18",인기있는,2024-12-08 20:13:59.478764
(주)사람인에이치에스,[상장사/외국계] 소셜리스닝 데이터 분석 컨설턴트 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49510241&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,경력2년↑,초대졸↑,정규직,채용시,"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 데이터마이닝 외                    수정일 24/12/05",인기있는,2024-12-08 20:13:59.480476
콘센트릭스서비스코리아(유),데이터 분석 (태깅),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49279558&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,신입·경력,학력무관,정규직,~ 12/27(금),"데이터분석가, 데이터분석, 솔루션, 기획, HTML 외                    수정일 24/11/28",성과급/상여금,2024-12-08 20:13:59.481970
(주)인텔리코드,ML연구소 데이터분석가 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404202&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,경기 수원시 영통구,경력무관,대졸↑,정규직,~ 12/25(수),"데이터분석가, 솔루션, Python, 딥러닝, 머신러닝 외                    수정일 24/12/04",인기있는,2024-12-08 20:13:59.483813
다산팩 주식회사,데이터 분석팀 - 데이터 분석가 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49423318&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 송파구,경력무관,대졸↑,정규직,~ 12/18(수),"데이터시각화, 빅데이터, Python, SQL, 재무 외                    등록일 24/11/18",연봉상승률 20% 이상,2024-12-08 20:13:59.485382
(주)엔플럭스,공공기관 DA(데이터 분석업무) 인력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49439351&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 도봉구,경력무관,초대졸↑,정규직,~ 12/13(금),"데이터분석가, 기획, GIS, 솔루션업체, 소프트웨어개발 수정일 24/11/20",기획·전략 지원 급상승,2024-12-08 20:13:59.487018
쿠팡풀필먼트서비스(유),[쿠팡CFS] 물류센터 데이터 분석 담당자 (Research & Planning),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492358&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,인천 중구,경력2년↑,학력무관,정규직,~ 12/31(화),"데이터분석가, 데이터분석, SQL, ERP, 창고·보관 외                    수정일 24/12/01",급성장중,2024-12-08 20:13:59.488608
(주)에스티유니타스,[ST Unitas] 공무원 상품기획 & 데이터분석 팀원급 인재채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49177535&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 구로구,신입·경력,대졸↑,정규직,~ 12/10(화),"데이터분석, 기획, 상품기획, CRM마케팅, 컨텐츠제공 외                    수정일 24/12/06",마케팅·홍보·조사 스크랩 급상승,2024-12-08 20:13:59.490140
(사)한국기술사업화진흥협회,[무료교육] 제조기업 기반 빅데이터 분석 실무,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49422214&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,대구 달서구,경력무관,학력무관,교육생,~ 12/17(화),"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 품질분석 외                    수정일 24/11/18",,2024-12-08 20:13:59.491972
(주)이매진씨앤이,상상 국어 평가 연구소에서 데이터 분석 전문가를 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49379025&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 서초구,경력무관,대졸↑,정규직,~ 12/11(수),"데이터분석가, 교재제작·출판 수정일 24/11/11",,2024-12-08 20:13:59.493511
(주)퍼플아카데미,데이터 분석가 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475791&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울전체,신입·경력,대졸↑,정규직,~ 12/25(수),"데이터엔지니어, 데이터분석가, 데이터시각화, 데이터마이닝, 빅데이터 외                    등록일 24/11/26",취업축하금,2024-12-08 20:13:59.495193
(주)기어세컨드,[기어세컨드] 데이터 분석가 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49444756&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 마포구,경력무관,학력무관,정규직,채용시,"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 데이터 사이언티스트 외                    등록일 24/11/21",,2024-12-08 20:13:59.496793
(주)온택트헬스,데이터 분석가 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49324570&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 서대문구,경력무관,석사↑,정규직·계약직,~ 01/03(금),"데이터분석가, 데이터 사이언티스트, 빅데이터, SQL, R 외                    수정일 24/12/06",평균연봉 상위 10%,2024-12-08 20:13:59.498358
(주)씨티아이랩,[데이터분석가] AI 모델 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49407843&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,경기 성남시 수정구,신입,초대졸↑,정규직,상시채용,"데이터분석가, 솔루션, SQL, 딥러닝, 머신러닝 외                    수정일 24/11/28",연봉상승률 15% 이상,2024-12-08 20:13:59.500060
(주)네피리티,[서울]데이터 분석 및 모델 개발 계약직/정규직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49382395&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 서초구,신입·경력,학력무관,정규직·계약직,~ 12/12(목),"Python, 머신러닝, AI(인공지능), 데이터분석, DataMining 외                    수정일 24/11/12",연봉상승률 10% 이상,2024-12-08 20:13:59.501585
(주)콜로세움코퍼레이션,데이터 분석가,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495795&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,경력 1~10년,학력무관,정규직,~ 12/28(토),"DBA, 데이터분석가, 데이터시각화, 데이터마이닝, RDBMS 외                    등록일 24/11/29",취업축하금,2024-12-08 20:13:59.503106
서울특별시보라매병원,보라매병원 데이터사이언스센터 데이터 분석 담당 연구원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521887&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 동작구,경력무관,석사↑,계약직·인턴직,~ 12/31(화),"데이터엔지니어, 데이터분석가, 데이터시각화, 데이터마이닝, 빅데이터 외                    등록일 24/12/03",,2024-12-08 20:13:59.504761
이다웰(주),파이썬 활용가능 데이터 분석가 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501156&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,경기 용인시 기흥구,경력무관,학력무관,정규직,~ 12/30(월),"데이터분석가, 소프트웨어개발 등록일 24/11/30",연봉상승률 15% 이상,2024-12-08 20:13:59.506171
더플랜비랩,데이터 분석 및 추출 가공 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49261917&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 금천구,경력무관,초대졸↑,정규직·계약직,채용시,"데이터분석가, 빅데이터, SQL, MySQL, GCP 외                    등록일 24/10/24",,2024-12-08 20:13:59.507941
(주)스마일게이트홀딩스,[스마일게이트 홀딩스][재무] 데이터 분석 담당 (인턴),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492761&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,경기 성남시 분당구,신입,학력무관,인턴직,~ 12/29(일),"데이터분석, 재무, 게임 수정일 24/11/29",연봉상승률 10% 이상,2024-12-08 20:13:59.509491
(주)테크랩스,마케팅 데이터 분석 (브랜드엑셀러레이팅사업부),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49409290&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,경력 2~10년,대졸↑,정규직,~ 01/05(일),"통계/분석, 데이터분석, 마케팅, 온라인마케팅, 브랜드마케팅 외                    수정일 24/11/15",연봉상승률 10% 이상,2024-12-08 20:13:59.511215
주식회사 청담글로벌,[코스닥상장사] (주)청담글로벌 중국 왕홍 데이터 분석 담당자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543003&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 마포구,경력1년↑,초대졸↑,정규직,~ 02/04(화),"매출관리, 통계/분석, 상품분석, 온라인MD, 쇼핑몰 외                    수정일 24/12/06",마케팅·홍보·조사 지원 급상승,2024-12-08 20:13:59.512968
넛지헬스케어(주),[넛지헬스케어] 데이터분석 담당 산업기능요원 (병역특례),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49338818&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,경력무관,학력무관,산업기능요원·현역,~ 01/04(토),"데이터엔지니어, 통계/분석, 데이터분석가, 데이터분석, 데이터시각화 외                    수정일 24/11/13",급성장중,2024-12-08 20:13:59.514525
(주)플렉싱크,AI사업본부(데이터 분석/AI모델링) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49362376&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,제주 제주시,경력무관,대졸↑,정규직,~ 12/30(월),"통계/분석, 데이터분석가, 데이터분석, 빅데이터, 솔루션 외                    등록일 24/11/08",연봉상승률 15% 이상,2024-12-08 20:13:59.516257
(주)이디케이스파솔루션,[피몽쉐] 화장품 브랜드사 그로스 마케터 모집 (데이터분석 必),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49315820&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 영등포구,경력무관,대졸↑,정규직,채용시,"통계/분석, 데이터분석, 마케팅, 기획, 마케팅기획 외                    등록일 24/11/01",유연근무제,2024-12-08 20:13:59.517909
(주)한국정보통계,[통계팀] 데이터 분석가(사회조사분석사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49345668&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,전북 전주시 완산구,경력무관,초대졸↑,정규직,채용시,"통계/분석, 데이터분석, 조사분석 수정일 24/11/06",프리한 복장,2024-12-08 20:14:01.505608
(주)아티언스,글로벌 마케팅 데이터 분석 담당 (5년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521474&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 마포구,경력5년↑,대졸↑,정규직,~ 01/02(목),"데이터엔지니어, 통계/분석, 데이터분석가, 마케팅, 마케팅기획 외                    수정일 24/12/04",취업축하금,2024-12-08 20:14:01.508081
(주)토마토시스템,[(주)토마토시스템] AI데이터 분석 부문 채용(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543994&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 강남구,경력3년↑,대졸↑,정규직,진행예정,"데이터엔지니어, 데이터분석가, 빅데이터, 솔루션, 클라우드 외                    등록일 24/12/06",육아휴직,2024-12-08 20:14:01.509959
(주)한국일보사,[경력] 한국일보 데이터 분석 계약직 사원 공개채용(~12/17),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543959&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 중구,경력 2~20년,대졸↑,계약직,~ 12/17(화),"데이터분석가, 데이터시각화, 데이터마이닝, 데이터라벨링, 알고리즘 외                    등록일 24/12/06",평균연봉 상위 10%,2024-12-08 20:14:01.511565
안진회계법인,[딜로이트 안진회계법인] 금융기관 데이터 분석 전문가,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49395010&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 영등포구,경력 5~10년,대졸↑,정규직,~ 12/12(목),"데이터엔지니어, 데이터분석가, 데이터 사이언티스트, Python, SQL 외                    등록일 24/11/13",평균연봉 상위 10%,2024-12-08 20:14:01.513049
십일번가(주),[11번가] 데이터분석 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49427791&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,경기 광명시,경력5년↑,학력무관,정규직,~ 12/15(일),"데이터분석가, SQL, 전자상거래 등록일 24/11/19",평균연봉 상위 10%,2024-12-08 20:14:01.514427
(주)맨파워그룹코리아,[광화문역] 글로벌 IT기업 Map 데이터 분석 및 업데이트 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49484057&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 종로구,경력무관,초대졸↑,계약직·파견직,~ 12/16(월),"데이터엔지니어, DBA, 데이터분석가, 데이터분석, 데이터시각화 외                    수정일 24/12/04",재택근무,2024-12-08 20:14:01.515853
(주)빗썸코리아,데이터 분석 개발자 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534693&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 강남구,경력 4~12년,대졸↑,정규직,~ 01/04(토),"데이터엔지니어, 데이터분석가, 데이터시각화, 데이터마이닝, 빅데이터 외                    등록일 24/12/05",취업축하금,2024-12-08 20:14:01.517455
